CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 2136 2050 642.605000 2836290 11079.300000 720.626000 28.890500
16 2136 2050 642.789000 2868950 11206.800000 716.611000 46.881700
16 2136 2050 642.805000 2849920 11132.500000 717.106000 28.940600
16 2136 2050 642.812000 2827460 11044.800000 722.521000 25.201700
16 2136 2050 642.922000 2859200 11168.700000 719.602000 46.080500
16 2136 2050 643.422000 2857420 11161.800000 717.575000 40.800800
16 2376 2050 643.059000 2856070 11156.600000 810.582000 44.517700
16 2376 2050 643.090000 2822980 11027.300000 808.335000 22.684100
16 2376 2050 643.277000 2852340 11141.900000 810.258000 39.986700
16 2376 2050 643.281000 2859660 11170.600000 810.890000 48.434600
16 2376 2050 643.293000 2861060 11176.000000 810.435000 47.409200
16 2376 2050 643.293000 2863360 11185.000000 811.983000 51.904600
16 2376 2050 643.441000 2850290 11134.000000 802.515000 39.764100
16 2376 2050 643.492000 2875030 11230.600000 808.143000 53.866200
16 2376 2050 643.496000 2858900 11167.600000 811.870000 48.910100
16 2376 2050 644.211000 2859860 11171.400000 811.664000 49.370800
