CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 216 2050 640.816000 2791910 10905.900000 77.340000 0.442418
16 216 2050 641.449000 2801690 10944.100000 59.934300 0.281570
16 216 2050 641.531000 2795150 10918.600000 77.251100 0.443282
16 216 2050 641.586000 2800550 10939.700000 77.098900 0.531673
16 216 2050 641.586000 2800660 10940.100000 77.096700 0.405874
16 216 2050 641.586000 2803920 10952.800000 77.008900 0.578224
16 216 2050 641.586000 2810330 10977.800000 76.834400 0.754205
16 216 2050 641.586000 2810430 10978.200000 76.833300 0.770757
16 216 2050 641.586000 2843110 11105.900000 76.041100 2.586660
16 216 2050 641.727000 2814570 10994.400000 76.733300 1.157730
16 216 2050 641.730000 2792820 10909.400000 77.314400 0.299151
16 456 2050 641.113000 2832420 11064.100000 161.058000 3.834970
16 456 2050 641.707000 2863270 11184.600000 142.839000 6.813490
16 456 2050 641.805000 2867850 11202.500000 159.585000 8.822970
16 456 2050 641.828000 2800070 10937.800000 162.835000 1.405450
16 456 2050 641.828000 2811460 10982.300000 162.176000 1.507740
16 456 2050 641.828000 2885350 11270.900000 158.494000 8.145130
16 456 2050 641.832000 2801810 10944.500000 162.729000 1.080220
16 456 2050 641.836000 2807870 10968.300000 162.392000 1.846210
16 456 2050 641.836000 2810090 10976.900000 162.266000 1.947640
16 456 2050 641.859000 2806820 10964.200000 128.251000 1.651500
16 456 2050 641.965000 2832110 11062.900000 161.049000 3.244120
16 696 2050 641.234000 2811020 10980.500000 221.973000 2.142450
16 696 2050 641.359000 2822590 11025.800000 246.617000 4.022570
16 696 2050 641.957000 2802650 10947.800000 222.639000 2.196590
16 696 2050 641.957000 2834360 11071.700000 211.711000 3.493390
16 696 2050 642.070000 2823310 11028.600000 246.601000 5.071410
16 696 2050 642.070000 2830560 11056.900000 245.936000 4.301810
16 696 2050 642.074000 2820900 11019.100000 246.766000 3.958220
16 696 2050 642.074000 2822490 11025.400000 246.631000 4.129440
16 696 2050 642.078000 2813130 10988.800000 247.437000 3.635460
16 696 2050 642.078000 2828880 11050.300000 246.091000 4.503650
16 696 2050 642.402000 2810550 10978.700000 247.641000 2.830320
16 936 2050 641.477000 2853860 11147.900000 295.212000 14.489400
16 936 2050 641.488000 2821790 11022.600000 297.731000 4.843720
16 936 2050 641.496000 2819400 11013.300000 306.472000 4.223970
16 936 2050 641.504000 2834210 11071.100000 305.090000 8.674830
16 936 2050 641.598000 2832690 11065.200000 330.516000 6.195660
16 936 2050 641.629000 2830180 11055.400000 322.439000 8.309590
16 936 2050 642.203000 2823300 11028.500000 297.574000 4.859980
16 936 2050 642.211000 2812000 10984.400000 307.285000 4.294000
16 936 2050 642.312000 2867360 11200.600000 327.146000 14.728200
16 936 2050 642.316000 2827600 11045.300000 331.099000 5.897060
16 936 2050 642.328000 2811820 10983.700000 332.932000 5.111800
16 1176 2050 641.867000 2826430 11040.800000 416.181000 7.412770
16 1176 2050 641.879000 2817310 11005.100000 417.620000 9.404540
16 1176 2050 642.578000 1174370 4587.380000 981.735000 26.191900
16 1176 2050 642.578000 2856690 11159.000000 413.806000 23.940900
16 1176 2050 642.582000 2847700 11123.900000 414.623000 21.945900
16 1176 2050 642.590000 2823970 11031.100000 416.652000 9.539430
16 1176 2050 642.602000 2812280 10985.500000 401.327000 9.553980
16 1176 2050 642.656000 2814380 10993.700000 417.977000 7.795940
16 1176 2050 642.711000 2845190 11114.000000 413.603000 10.775300
16 1176 2050 642.711000 2854040 11148.600000 412.319000 10.754000
16 1176 2050 642.750000 2837200 11082.800000 414.510000 4.388100
16 1416 2050 641.988000 2821150 11020.100000 476.539000 8.726130
16 1416 2050 642.121000 2825000 11035.200000 501.565000 12.752300
16 1416 2050 642.125000 2845650 11115.800000 489.285000 8.465420
16 1416 2050 642.270000 2865670 11194.000000 497.167000 30.375200
16 1416 2050 642.578000 2841050 11097.900000 465.108000 14.408100
16 1416 2050 642.590000 2828630 11049.300000 466.834000 9.687530
16 1416 2050 642.598000 1178800 4604.680000 1121.560000 39.463900
16 1416 2050 642.746000 2840950 11097.400000 465.079000 14.277200
16 1416 2050 642.828000 2822770 11026.400000 501.897000 11.635600
16 1416 2050 642.828000 2850890 11136.300000 496.912000 10.958500
16 1416 2050 642.848000 2810360 10978.000000 495.402000 7.636000
16 1416 2050 643.156000 2844830 11112.600000 497.886000 9.086920
16 1656 2050 642.227000 2857750 11163.100000 548.495000 31.123100
16 1656 2050 642.242000 2845200 11114.000000 558.209000 25.607100
16 1656 2050 642.246000 2852610 11143.000000 549.334000 30.790600
16 1656 2050 642.254000 2848080 11125.300000 557.952000 27.990500
16 1656 2050 642.254000 2875290 11231.600000 546.100000 36.040700
16 1656 2050 642.949000 2826630 11041.500000 552.684000 19.310000
16 1656 2050 642.969000 2819770 11014.700000 553.406000 10.340000
16 1656 2050 643.066000 2825760 11038.100000 561.080000 16.587300
16 1656 2050 643.137000 2847090 11121.400000 557.557000 23.401500
16 1656 2050 643.152000 2843980 11109.300000 558.051000 22.787700
16 1896 2050 642.480000 2848670 11127.700000 633.859000 30.689600
16 1896 2050 642.484000 2838300 11087.100000 644.031000 27.229800
16 1896 2050 642.484000 2859700 11170.600000 632.448000 36.361100
16 1896 2050 642.570000 2841040 11097.800000 643.328000 27.266800
16 1896 2050 642.629000 2835780 11077.300000 644.025000 21.926200
16 1896 2050 642.777000 2826650 11041.600000 637.573000 20.659100
16 1896 2050 643.191000 2843840 11108.700000 633.967000 23.434300
16 1896 2050 643.246000 2840200 11094.500000 635.920000 30.925700
16 1896 2050 643.336000 2842940 11105.300000 642.336000 21.156100
16 1896 2050 643.340000 2846270 11118.200000 633.595000 25.619200
16 1896 2050 643.352000 2842510 11103.600000 634.457000 25.704000
16 2136 2050 642.566000 2830170 11055.400000 721.694000 24.103900
16 2136 2050 642.590000 2858370 11165.500000 717.828000 42.443800
16 2136 2050 642.602000 2835440 11075.900000 720.966000 28.654000
16 2136 2050 642.602000 2859880 11171.400000 716.619000 40.879900
16 2136 2050 642.750000 2826800 11042.200000 723.110000 28.265300
16 2136 2050 642.852000 2844980 11113.200000 728.539000 38.176900
16 2136 2050 643.566000 2841030 11097.800000 718.984000 24.852200
16 2136 2050 643.629000 2893360 11302.200000 714.743000 54.067800
16 2136 2050 643.781000 2815160 10996.700000 733.377000 12.861000
16 2136 2050 643.922000 2824100 11031.600000 722.992000 20.456000
16 2136 2050 644.152000 2854490 11150.400000 717.596000 38.360100
16 2376 2050 643.180000 2869360 11208.400000 800.309000 53.256200
16 2376 2050 643.270000 2888920 11284.900000 805.623000 61.921000
16 2376 2050 643.285000 2865770 11194.400000 808.091000 46.388400
16 2376 2050 643.293000 2859060 11168.200000 801.347000 45.978400
16 2376 2050 643.492000 2850200 11133.600000 811.418000 42.332700
16 2376 2050 643.504000 2849560 11131.100000 804.997000 46.855000
16 2376 2050 643.586000 2827410 11044.500000 815.685000 24.558800
16 2376 2050 643.652000 2835420 11075.900000 805.178000 27.515600
16 2376 2050 643.875000 2849690 11131.600000 802.281000 36.898200
16 2376 2050 643.988000 2852250 11141.600000 810.768000 42.108400
16 2376 2050 644.234000 2858790 11167.200000 808.152000 38.237300
